4221419.419700574,370526.0447865059
4221402.381131732,388932.0571231892
4221869.161810795,408273.97143215
4222058.4331723,427967.3189544518
4218666.156419773,447382.2980198211
4227030.908934581,463994.385704298
4241710.333874128,375292.461622606
4241634.915495087,389348.3221898274
4243169.794369081,408555.0716546756
4240800.425234566,429014.8607933931
4234951.660506688,446357.8540244208
4239685.136539431,460973.4974017684
4258422.496773415,369617.8692932113
4260358.113749379,386801.338492388
4263386.142956822,407605.7576381593
4264846.013323935,429241.7677586917
4265871.292002591,449597.7323113047
4255554.636139075,469511.2743024069
4281807.939371391,366643.4923699769
4291483.671901201,389704.5133453405
4288843.626572292,416497.6062798742
4285103.480165823,433627.8797485079
4278616.556164291,449764.1098126573
4279515.779720825,463769.4678558815
4301260.021197761,369905.9037885815
4305329.495123788,389361.4885238978
4300703.54178065,411657.818270231
4305583.095775655,427249.4769153269
4304076.990034721,450110.5115318025
4303246.949572709,468003.7497952475
4316680.848481829,372942.8118855337
4323121.559457715,385928.8446194187
4315900.172927909,409917.8266357428
4328181.425774533,423552.6705186248
4314643.463873976,452032.3594339823
4331542.730988231,460634.3424957651
