3985563.178274858,3060835.593554787,3916215.688707992
3974201.625680611,3075316.255199132,3916416.347744071
3961994.048171986,3090318.001564542,3916973.45845996
3949664.039498386,3105674.596131815,3917278.429038723
3939186.555779669,3122174.560590492,3914724.622798373
3924790.429420029,3131895.067279627,3921379.807054992
3972876.942340001,3056694.407259794,3932225.592426506
3964226.678116042,3067773.993857916,3932326.982140595
3951586.640281896,3082251.681265802,3933720.558312796
3940009.722014591,3099204.499924497,3932021.500487457
3932010.796325912,3115045.264677588,3927531.410093284
3920600.181930211,3124614.127538636,3931316.239223015
3968322.47626368,3045705.360133864,3945263.035479011
3956774.771519257,3058462.213992508,3946983.375139971
3942423.460740194,3073609.691268739,3949563.536670725
3928269.501078034,3089989.196402275,3950878.869096632
3915079.617994886,3105503.815826291,3951801.960530474
3907607.264257709,3125080.162953712,3943798.084868756
3958839.240916167,3034199.006382002,3963520.675385452
3939897.393237616,3048530.08652067,3971350.4203982
3924565.765618969,3070590.277095702,3969544.465953205
3915723.069290598,3085473.358717888,3966749.849018704
3908803.855920547,3100635.816873498,3961773.39571587
3899610.429482752,3111214.954225781,3962535.514790553
3947373.762897859,3029111.300770931,3978740.671132913
3933371.195781852,3042803.71345561,3982141.520451942
3921803.908499602,3062125.861384412,3978754.950825836
3909733.340538003,3072414.711020777,3982680.717541579
3896211.993861855,3090884.717008438,3981645.182792408
3885423.799868872,3105176.006088502,3981070.426832712
3937979.834754676,3025411.121848114,3990785.200746256
3926809.013177331,3033072.885389859,3995947.27060633
3915473.652984325,3054760.555835029,3990573.487427211
3900995.116436731,3060581.208100765,4000232.56402342
3889857.163604445,3088211.851287187,3989882.151361453
3876213.328170432,3088233.324055969,4003055.250284669
