4086216.616392314	3138135.491266344	4015784.340472212
4073097.087842059	3151843.530610939	4014530.67486433
4058847.162222245	3165862.517335628	4013371.343618608
4044735.746565874	3180430.77349213	4012206.069153601
4033558.683767051	3196973.317404551	4009142.78085704
4018471.121858179	3206650.166646739	4015609.903536621
4072593.331525583	3133415.265609912	4031586.823445267
4062563.549167703	3143873.399907275	4030529.95523016
4047819.100948916	3157313.344006449	4030163.55474506
4034228.047951879	3173316.464189112	4026682.499009941
4025289.27710298	3188942.999168152	4021331.560943217
4013369.268280733	3198548.623370597	4024965.814341959
4068615.344444239	3122680.587834698	4045645.109714656
4055601.158323456	3134851.896812382	4046229.599067052
4039068.736586271	3148956.710535937	4047036.3657788
4022632.183209363	3164215.180197264	4046424.278036148
4007853.827618364	3179093.80379786	4046077.482241682
3999933.504346688	3198917.394259243	4037607.411905318
4060039.510178698	3111762.589481905	4065523.462121163
4039870.493129211	3125885.14743809	4072800.773731146
4021481.523928576	3146417.41388873	4068231.606521885
4010567.506513324	3160207.955392609	4063477.761545823
4001972.555688606	3174541.343515566	4056841.075621444
3992171.057864541	3185062.333701625	4057223.602572619
4049355.949125423	3107369.761037041	4082226.005776235
4034287.105077161	3120870.920506855	4084997.253147924
4020103.049078587	3138877.36338236	4079153.663721124
4006688.624365357	3148605.799874259	4082110.603894066
3990882.592290505	3165987.382441975	4079043.668960632
3979069.739072009	3180016.522454052	4077668.290425643
4040710.814100258	3104335.71275827	4095595.364803154
4029245.420179759	3112194.912336729	4100889.772532417
4015172.071364869	3132542.919589634	4092868.95292312
4000302.652042879	3138494.347755394	4102752.693570533
3985220.850044494	3163922.411922195	4088357.278997
3972466.373548261	3164919.470331102	4103127.923304064
